date,Tennessee-apple-driving,Tennessee-apple-walking,Tennessee-google-retail_and_recreation,Tennessee-google-grocery_and_pharmacy,Tennessee-google-parks,Tennessee-google-transit_stations,Tennessee-google-workplaces,Tennessee-google-residential,Tennessee-jh_beta_7,Tennessee-jh_gamma_7,Tennessee-cdc_beta_7,Tennessee-cdc_gamma_7,Tennessee-jh_beta_14,Tennessee-jh_gamma_14,Tennessee-cdc_beta_14,Tennessee-cdc_gamma_14,Tennessee-jh_beta_30,Tennessee-jh_gamma_30,Tennessee-cdc_beta_30,Tennessee-cdc_gamma_30,Tennessee-census_pop,Tennessee-jh_confirmed,Tennessee-jh_death,Tennessee-cdc_confirmed,Tennessee-cdc_death,Tennessee-jh_confirmed_ratio,Tennessee-jh_death_ratio,Tennessee-cdc_confirmed_ratio,Tennessee-cdc_death_ratio
01-01-2021,100.86,120.36,-35.0,-28.0,8.0,-48.0,-72.0,25.0,0.0250000006258312,3.2235949242149814e-05,0.0250000010136058,4.879449047622352e-05,0.0250000057119266,0.0001199380990146,0.0250000079577104,0.0001635516962736,0.0250000159898859,0.0001467279829925,0.0250000165145824,0.0001511307083958,6829174,586802,6907,610243,7877,0.0859257649607404,0.0010113961073476,0.0893582444963329,0.0011534337827678
01-02-2021,127.0,140.51,-16.0,-7.0,32.0,-11.0,-18.0,6.0,0.0250000007543759,3.825290914202922e-05,0.0250000009970075,4.794288273193844e-05,0.0250000054231561,0.0001139701495433,0.0250000080880765,0.0001664259740671,0.0250000159991494,0.000147325912823,0.0250000164066918,0.0001505337941622,6829174,604132,6970,612368,7975,0.0884634071411857,0.0010206212347203,0.0896694095069184,0.0011677839809031
01-03-2021,98.14,93.82,-17.0,-9.0,-6.0,-11.0,-18.0,6.0,0.0250000008723555,4.391147934012104e-05,0.0250000010344812,4.945454011215104e-05,0.0250000059374092,0.0001252780087165,0.0250000081705347,0.000168226010397,0.0250000155878397,0.000143901565195,0.0250000163279757,0.0001501983249148,6829174,608297,7025,617565,8061,0.0890732905619332,0.0010286749173472,0.0904304092998655,0.0011803770119197
01-04-2021,113.18,114.75,-8.0,-2.0,-3.0,-18.0,-28.0,9.0,0.0250000008507483,4.353987939286935e-05,0.0250000010471156,5.004927225723766e-05,0.0250000056989332,0.0001204604139596,0.0250000082243395,0.0001694871532363,0.0250000151320655,0.0001401087342043,0.0250000162075698,0.0001494845971632,6829174,612250,7168,621392,8164,0.0896521306969188,0.0010496144921772,0.0909907991801058,0.001195459363021
01-05-2021,116.83,116.74,-11.0,-1.0,-4.0,-19.0,-27.0,9.0,0.0250000008762138,4.418908606524416e-05,0.0250000010733974,5.11601274712723e-05,0.0250000058985981,0.0001241296966405,0.0249999977595297,0.0001583460749127,0.0250000153585631,0.0001426633789877,0.0250000160314412,0.0001481659649706,6829174,617649,7267,631519,8271,0.0904427094696957,0.0010641111209056,0.0924737017976112,0.0012111274364952
01-06-2021,108.38,113.9,-14.0,-4.0,-7.0,-24.0,-27.0,10.0,0.0250000008192375,4.10959760754666e-05,0.0250000011124365,5.2741652358183466e-05,0.0250000055272377,0.0001152099377767,0.0249999943677231,0.0001547571368318,0.0250000155998685,0.0001451540904628,0.0250000160455797,0.0001484199256869,6829174,625380,7379,641120,8386,0.0915747643858539,0.0010805113473459,0.0938795819230847,0.0012279669547151
01-07-2021,109.85,111.79,-18.0,-4.0,-23.0,-25.0,-27.0,11.0,0.0250000008319975,4.088038573504101e-05,0.0250000011474602,5.403088014628451e-05,0.0250000054101972,0.0001115739466545,0.0249999912990952,0.0001507558076614,0.0250000153868442,0.0001435696552633,0.0250000160215523,0.0001482515935149,6829174,634237,7492,647225,8501,0.0928717001499742,0.0010970580043794,0.0947735406946725,0.001244806472935
01-08-2021,122.27,130.61,-24.0,-14.0,-31.0,-28.0,-30.0,13.0,0.0250000008624905,4.1553701924354e-05,0.0250000011865157,5.545641164097074e-05,0.0250000005979425,0.0001080396631574,0.0249999889341391,0.0001495686676528,0.0250000149955066,0.0001400112152991,0.0250000158255184,0.0001469796781186,6829174,640606,7618,653978,8592,0.0938043165981713,0.0011155082591247,0.0957623864906649,0.0012581316569178
01-09-2021,120.17,134.68,-18.0,-6.0,-18.0,-19.0,-8.0,6.0,0.0250000011139992,5.19657888814244e-05,0.0250000012072738,5.63559712694074e-05,0.024999998960797,0.0001239000801233,0.024999988102362,0.0001476168728113,0.0250000149031267,0.0001393857586899,0.0250000156758054,0.0001459895015574,6829174,646450,7704,659209,8711,0.0946600569849296,0.0011281012901413,0.0965283649237814,0.0012755568975105
01-10-2021,92.72,93.48,-16.0,-6.0,-18.0,-24.0,-16.0,6.0,0.025000001236962,5.737148438789746e-05,0.0250000012359381,5.749483888337638e-05,0.0249999926411223,0.000134295097435,0.024999986909682,0.0001512525841715,0.0250000148406815,0.0001389115708322,0.025000015699349,0.0001466209022712,6829174,653869,7785,662170,8800,0.0957464255560042,0.0011399621681919,0.096961945910296,0.0012885892203068
01-11-2021,101.17,99.87,-20.0,-10.0,-32.0,-26.0,-28.0,12.0,0.0250000516354904,0.0001750332155758,0.0250000012812815,5.963188265647867e-05,0.0249999908325176,0.0001376784968907,0.0249999846457766,0.0001517876803539,0.0250000145701905,0.0001365511883468,0.0250000156138192,0.0001462284633365,6829174,657396,7865,664772,8908,0.0962628862582795,0.0011516766156492,0.0973429583138458,0.0013044037243742
01-12-2021,107.32,105.02,-15.0,-5.0,-11.0,-22.0,-27.0,10.0,0.0250000012238527,5.770182666247747e-05,0.0250000012894458,6.007790487161499e-05,0.0249999889849464,0.000139530238203,0.0249999824162097,0.0001533935131806,0.0250000144432076,0.0001355688609736,0.0250000155936748,0.0001464632390336,6829174,660874,8011,670414,9010,0.0967721718614872,0.0011730554822589,0.0981691197207744,0.0013193396448823
01-13-2021,109.04,110.28,-16.0,-6.0,-7.0,-22.0,-26.0,9.0,0.0250000012538516,5.878735336494988e-05,0.0250000012970096,6.048978126570071e-05,0.0249999890175655,0.0001350588671311,0.0249999776979943,0.0001526902389185,0.0250000142889191,0.0001345061553642,0.0250000156269582,0.0001469470069023,6829174,665499,8148,676081,9108,0.0974494133551144,0.0011931164735295,0.0989989418925334,0.0013336898430176
01-14-2021,115.4,113.95,-18.0,-9.0,-9.0,-22.0,-26.0,9.0,0.025000001283438,5.954657934466515e-05,0.0250000012801194,5.984250078826873e-05,0.0249999868497156,0.0001342466463897,0.0249999734420155,0.0001505814238976,0.0250000140807252,0.0001327472226943,0.0250000156219836,0.0001470583266152,6829174,670482,8232,680203,9185,0.0981790770011131,0.0012054166433597,0.0996025287977726,0.0013449649986953
01-15-2021,134.42,144.5,-20.0,-12.0,-16.0,-23.0,-27.0,10.0,0.0250000012874021,5.961579606465933e-05,0.0250000012361941,5.8225934716354575e-05,0.024999984940453,0.0001341291230611,0.0249999705074983,0.0001488048743939,0.0250000139828124,0.0001319794533387,0.0250000153975741,0.0001456466834445,6829174,676039,8311,685126,9292,0.0989927918076183,0.0012169846602239,0.1003234066081783,0.0013606330721694
01-16-2021,129.34,156.41,-21.0,-10.0,-11.0,-21.0,-11.0,6.0,0.0250000012326578,5.746794585526621e-05,0.0250000012602,5.935911011961192e-05,0.0249999782023311,0.000149889825962,0.0249999683615472,0.0001475256038917,0.025000013928973,0.0001319223815137,0.0250000153501613,0.0001457492166676,6829174,680847,8355,688931,9382,0.0996968300998041,0.0012234276063254,0.1008805750153678,0.0013738118255589
01-17-2021,103.05,113.16,-18.0,-10.0,-8.0,-26.0,-19.0,5.0,0.0250000012229667,5.789510362476825e-05,0.0250000012086164,5.720381902724314e-05,0.024999969463819,0.0001503943720072,0.0249999674696173,0.0001471269086077,0.0250000129925116,0.0001231580837445,0.0250000151802554,0.00014461928408,6829174,685321,8391,691197,9472,0.1003519605738556,0.0012286991076812,0.1012123867395969,0.0013869905789484
01-18-2021,114.42,113.05,-15.0,-11.0,-6.0,-22.0,-40.0,13.0,0.0250000011854767,5.744994521031603e-05,0.0250000012213565,5.7868907307272033e-05,0.0249999645074283,0.0001539748707609,0.0249999646621535,0.0001475597447967,0.0250000124614786,0.0001185809345223,0.0250000149689063,0.0001430823757897,6829174,687751,8430,693015,9562,0.1007077869153722,0.0012344099008167,0.1014785975580648,0.0014001693323379
01-19-2021,107.8,107.38,-19.0,-7.0,-3.0,-23.0,-26.0,9.0,0.0250000011179988,5.5597412252947365e-05,0.0250000011849107,5.635131472914772e-05,0.0249999681715903,0.0001434151415538,0.0249999640133904,0.0001456273400406,0.0250000130537749,0.000124538607735,0.0250000147241889,0.000141200541439,6829174,690065,8471,696813,9642,0.1010466273080756,0.0012404135551385,0.1020347409511018,0.0014118837797953
01-20-2021,105.01,109.0,-19.0,-9.0,-5.0,-25.0,-26.0,9.0,0.0250000008770251,4.5771635540393e-05,0.0250000011566782,5.528255045280702e-05,0.0249999681996902,0.0001381477078739,0.0249999623360531,0.0001413540304162,0.0250000123338073,0.0001186181614217,0.0250000146164739,0.0001404636287844,6829174,694291,8556,701743,9741,0.1016654429950093,0.001252860155562,0.1027566437756601,0.0014263804085237
01-21-2021,110.54,110.0,-21.0,-13.0,-25.0,-24.0,-25.0,10.0,0.0250000006883556,3.738734494288872e-05,0.025000001147116,5.486368991588721e-05,0.0249999693117718,0.0001306326392466,0.0249999619807401,0.0001362327439961,0.0250000121438751,0.0001175023170204,0.0250000144671696,0.0001392781178546,6829174,697783,8684,705118,9827,0.102176778626522,0.0012716032714937,0.1032508470277664,0.0014389734395404
01-22-2021,132.46,144.94,-20.0,-12.0,-8.0,-23.0,-24.0,9.0,0.0250000006901204,3.644190372268064e-05,0.0250000011828219,5.648598632885092e-05,0.0249999704494906,0.000123855804612,0.0249999628175122,0.0001317555186781,0.0250000116760121,0.0001131876873638,0.0250000141262615,0.0001365553185346,6829174,701847,8777,708932,9934,0.1027718725573546,0.0012852213166628,0.1038093333102949,0.0014546415130146
01-23-2021,132.81,159.73,-17.0,-9.0,16.0,-19.0,-7.0,4.0,0.0250000007202598,3.679411793324588e-05,0.0250000011608957,5.534124336212268e-05,0.0249999734070505,0.0001160545720124,0.024999961080214,0.0001308001717887,0.0250000113021864,0.0001099332690895,0.0250000137566387,0.0001335222677292,6829174,705876,8819,711961,10008,0.1033618414174247,0.0012913714015779,0.1042528715771482,0.0014654773769126
01-24-2021,93.22,92.8,-22.0,-13.0,-20.0,-27.0,-17.0,6.0,0.0250000008007789,4.019556280765998e-05,0.0250000011618191,5.547070897739086e-05,0.0249999734196998,0.0001132928927614,0.0249999629043249,0.000125905050653,0.0250000113576884,0.0001109388841894,0.0250000135251142,0.0001317282057675,6829174,708717,8859,713838,10081,0.1037778507327533,0.0012972286253066,0.104527721800616,0.0014761668102174
01-25-2021,102.82,102.71,-24.0,-18.0,-32.0,-27.0,-26.0,11.0,0.0250000008707681,4.3748542660443045e-05,0.0250000011463691,5.504696999031778e-05,0.0249999732245418,0.0001102608953951,0.0249999622953474,0.000125219540947,0.025000011856392,0.0001161716180623,0.0250000133158055,0.0001299940335446,6829174,710427,8970,715457,10165,0.1040282470471538,0.0013134824211537,0.1047647929310338,0.0014884669800476
01-26-2021,110.53,113.22,-16.0,-8.0,17.0,-21.0,-25.0,8.0,0.0250000009711182,4.815170798670509e-05,0.0250000011297643,5.4514141085682965e-05,0.0249999734096895,0.000108741994909,0.0249999638816089,0.0001218892179523,0.0250000119195557,0.0001177496965976,0.0250000133633611,0.0001306544305642,6829174,712406,9162,719345,10241,0.1043180331911297,0.0013415970950513,0.1053341150774603,0.0014995957051321
01-27-2021,106.35,105.19,-20.0,-9.0,-11.0,-26.0,-25.0,9.0,0.0250000011681523,5.5574952050874206e-05,0.0250000011336866,5.491503175559561e-05,0.0249999783896639,0.000100405340372,0.0249999645173975,0.0001186140822105,0.0250000119719562,0.0001183763273889,0.0250000132139377,0.0001296052562507,6829174,715806,9316,723071,10323,0.1048158972080664,0.0013641474064066,0.1058797154677857,0.0015116030137758
01-28-2021,113.44,113.05,-20.0,-13.0,-20.0,-24.0,-25.0,9.0,0.0250000012986073,5.986609475878968e-05,0.025000001091633,5.317405871614068e-05,0.0249999816235833,9.456528084235476e-05,0.0249999649016931,0.0001158206867732,0.025000012008769,0.0001187441130135,0.0250000131156233,0.00012900447195,6829174,717583,9417,725707,10385,0.1050761043722125,0.0013789368963215,0.1062657065115049,0.0015206817105553
01-29-2021,135.63,150.05,-18.0,-13.0,-11.0,-22.0,-24.0,9.0,0.0250000012998699,5.914208774198279e-05,0.0250000010635744,5.217936532115361e-05,0.024999980402936,9.618539743470232e-05,0.0249999636575428,0.0001156631534041,0.025000011730284,0.000116004802322,0.0250000127935758,0.000126584559815,6829174,722491,9461,728575,10455,0.10579478572372,0.0013853798424231,0.1066856694528503,0.0015309318520805
01-30-2021,131.06,153.77,-18.0,-9.0,-7.0,-21.0,-8.0,5.0,0.0250000013205564,6.057913340174363e-05,0.025000000977546,4.85627870397676e-05,0.0249999787608001,9.756107136607704e-05,0.0249999657038831,0.0001111369580655,0.0250000114794868,0.000113830252678,0.0250000124106126,0.000123559400401,6829174,724742,9574,730918,10510,0.1061244009890508,0.0014019264994565,0.107028756332757,0.0015389855347074
01-31-2021,97.47,96.94,-18.0,-9.0,-25.0,-25.0,-16.0,5.0,0.0250000308768541,0.0001470407100668,0.0250000009584457,4.804429833092373e-05,0.0249999736221557,0.0001042056753549,0.0249999664966664,0.0001085726393046,0.0250000113204506,0.0001124194966534,0.0250000121013622,0.0001211130786622,6829174,727861,9650,732421,10560,0.1065811180092936,0.001413055224541,0.1072488415143617,0.0015463070643682
02-01-2021,102.77,99.43,-21.0,-13.0,-34.0,-26.0,-27.0,11.0,0.0250000357927599,0.0001620289691696,0.0250000009245226,4.696001661875642e-05,0.0249999671012801,0.0001116314895088,0.0249999678713212,0.0001057232865209,0.0250000118915941,0.0001180996520717,0.0250000118201668,0.000118868098241,6829174,729187,9753,733776,10608,0.1067752849758989,0.0014281375756423,0.1074472549681703,0.0015533357328426
02-02-2021,107.63,105.71,-18.0,-9.0,-18.0,-25.0,-27.0,9.0,0.0250000336084656,0.0001579582012101,0.0250000008491524,4.402968825805577e-05,0.0249999602786474,0.0001191377141401,0.0249999696535853,0.0001024340242257,0.0250000116625459,0.0001165895858325,0.0250000116225645,0.0001172917038339,6829174,731360,9900,736823,10659,0.1070934786549588,0.0014496628728452,0.1078934289857016,0.0015608036930967
02-03-2021,111.48,109.91,-14.0,-4.0,-8.0,-24.0,-24.0,8.0,0.0250000254817912,0.0001350902788288,0.0250000007907471,4.173893425703045e-05,0.0249999523742408,0.0001273044346614,0.0249999705460792,9.977490666156684e-05,0.0250000118286907,0.000118288896408,0.0250000114113311,0.0001157358618589,6829174,733216,10033,739571,10702,0.107365253835969,0.001469138141743,0.1082958202558611,0.001567100208605
02-04-2021,114.3,110.64,-19.0,-9.0,-23.0,-25.0,-24.0,8.0,0.0250000012883492,5.968078895150581e-05,0.0250000007060102,3.8249691676377577e-05,0.0249999486425727,0.0001298685595254,0.0250000075150029,0.0001635414494482,0.0250000115012311,0.0001149146733661,0.0250000111165005,0.0001132775276401,6829174,736370,10202,741939,10742,0.1078270959269744,0.0014938849119966,0.1086425679005982,0.0015729574323336
02-05-2021,137.41,150.65,-17.0,-9.0,-9.0,-24.0,-24.0,8.0,0.0250000013924274,6.3105272022452e-05,0.0250000006629946,3.659025326353144e-05,0.0249999495952353,0.0001280971761738,0.0250000071750533,0.0001570840395658,0.0250000114449323,0.0001142423874475,0.0250000106519333,0.0001093789498464,6829174,739031,10405,744308,10791,0.108216747735524,0.0015236103224196,0.1089894619759285,0.0015801325314013
02-06-2021,132.72,159.11,-15.0,-3.0,4.0,-20.0,-6.0,4.0,0.0250000362814617,0.0001583181064928,0.025000000601442,3.39505297775881e-05,0.0249999444489513,0.0001324375357273,0.025000006599616,0.0001451501468452,0.0250000113212123,0.0001128476051275,0.0250000101573272,0.0001051062693256,6829174,742213,10463,746395,10840,0.1086826898831396,0.0015321032968262,0.1092950626239718,0.0015873076304689
02-07-2021,92.47,94.12,-25.0,-8.0,-29.0,-30.0,-18.0,5.0,0.0250000377309799,0.0001629424347981,0.0250000005812664,3.305169321004842e-05,0.0249999322461944,0.0001421952527536,0.025000006356257,0.0001404694744653,0.0250000111381924,0.0001110471945677,0.0250000097333378,0.000101370344995,6829174,744600,10469,747720,10898,0.1090322197091478,0.0015329818803855,0.1094890831599839,0.0015958006048754
02-08-2021,107.33,104.6,-19.0,-12.0,-14.0,-23.0,-25.0,9.0,0.0250000381636151,0.0001688646615002,0.0250000005843516,3.303186085910017e-05,0.0249999205567637,0.0001503430595605,0.0250000061284249,0.0001358035932198,0.0250000108800167,0.0001085696022513,0.0250000094339296,9.888710793993144e-05,6829174,745826,10566,748793,10925,0.1092117436164315,0.0015471856479275,0.1096462031865054,0.0015997542308923
02-09-2021,109.67,105.53,-16.0,-5.0,-4.0,-23.0,-23.0,8.0,0.0250000359742608,0.0001670359499705,0.0250000005712844,3.260410490795145e-05,0.0249999205612827,0.0001493083136828,0.0250000057274471,0.0001274191229489,0.0250000108567156,0.0001084883660009,0.0250000089953964,9.49275609238838e-05,6829174,747462,10631,751469,10961,0.109451304066934,0.0015567036364866,0.1100380514539532,0.0016050257322481
02-10-2021,111.61,110.97,-14.0,1.0,7.0,-24.0,-24.0,8.0,0.0250000285544576,0.0001505798516054,0.025000000543688,3.158933241331561e-05,0.0249999339868751,0.0001370624207886,0.0250000028098573,6.759045344656495e-05,0.0250000108080742,0.0001083081008867,0.0250000087495636,9.285270472078794e-05,6829174,750409,10731,753983,11001,0.1098828350251436,0.0015713466958083,0.1104061779653,0.0016108829559768
02-11-2021,104.12,105.25,-28.0,-17.0,-41.0,-31.0,-33.0,14.0,0.0250000237682055,0.0001376591590132,0.0250000005356433,3.1407702215943365e-05,0.0249999409391493,0.0001293862451167,0.0250000025701447,6.251995651066927e-05,0.0250000108447967,0.0001088211268483,0.0250000084002078,8.968455272127248e-05,6829174,752033,10812,755935,11038,0.1101206383085275,0.0015832075738588,0.110692010483259,0.0016163008879258
02-12-2021,142.31,159.01,-20.0,-8.0,-24.0,-22.0,-26.0,10.0,0.0250000011949153,5.815952947386783e-05,0.0250000005319162,3.140164051318535e-05,0.0250000058592081,0.0001281879639924,0.0250000024410673,5.9886059147615126e-05,0.0250000105150725,0.0001056153543508,0.0250000080292986,8.637719009822287e-05,6829174,754279,10893,757768,11072,0.1104495214208921,0.0015950684519094,0.1109604177606252,0.0016212795280951
02-13-2021,138.5,186.41,-15.0,6.0,-18.0,-21.0,-9.0,6.0,0.025000000875315,4.363224458719169e-05,0.0250000004992959,3.008871103348433e-05,0.0250000060502091,0.000133476851197,0.0250000022588802,5.605347444167501e-05,0.0250000102061149,0.0001027131934619,0.0250000076752387,8.322128960488689e-05,6829174,756071,10902,759477,11099,0.1107119250439365,0.0015963863272483,0.1112106676444325,0.001625233154112
02-14-2021,93.26,111.6,-22.0,0.0,-30.0,-31.0,-24.0,7.0,0.0250000008737948,4.424444434065624e-05,0.0250000004568059,2.8370743696668472e-05,0.0250000057907416,0.0001289927374788,0.0250000021476429,5.385336875235635e-05,0.0250000101285383,0.0001023655193407,0.0250000074454502,8.128862939553157e-05,6829174,757418,10933,760467,11132,0.1109091670529993,0.001600925675638,0.111355633931717,0.0016300653636882
02-15-2021,56.09,82.19,-55.0,-42.0,-46.0,-55.0,-63.0,27.0,0.0250000009811547,5.001819561095759e-05,0.0250000003890622,2.544877772851889e-05,0.0250000056764288,0.0001279126281919,0.0250000020620141,5.2194377595218577e-05,0.025000010035388,0.0001019825150971,0.0250000070439107,7.758117532268045e-05,6829174,758561,10937,761245,11163,0.111076537221046,0.0016015113980109,0.1114695569332396,0.0016346047120779
02-16-2021,59.79,84.83,-49.0,-27.0,-43.0,-47.0,-62.0,26.0,0.0250000007985514,4.313768774021691e-05,0.0250000004022377,2.612526306389865e-05,0.025000005358639,0.000122336985648,0.0250000019816013,5.0637584530923335e-05,0.025000010095926,0.0001032771791262,0.0250000067416837,7.484390713801637e-05,6829174,759523,10954,762204,11189,0.1112174034517205,0.0016040007180956,0.1116099838721344,0.0016384119075015
02-17-2021,67.7,83.61,-36.0,-8.0,-32.0,-44.0,-49.0,21.0,0.0250000006832253,3.898880495372063e-05,0.0250000003856321,2.5515375946726287e-05,0.02500000474896,0.0001101112032068,0.0250000018684866,4.838349776580269e-05,0.0250000101694474,0.0001047725977639,0.0250000064516283,7.217753848683693e-05,6829174,760303,10985,763251,11220,0.1113316193144295,0.0016085400664853,0.1117632967032323,0.0016429512558912
02-18-2021,62.81,80.95,-49.0,-32.0,-45.0,-49.0,-59.0,26.0,0.0250000004778048,3.026953011597852e-05,0.025000000358801,2.437712008806561e-05,0.0250000042029412,9.902577754834812e-05,0.0250000017975534,4.7034915819795736e-05,0.0250000102408696,0.0001061952467708,0.025000006162494,6.948614256533258e-05,6829174,761360,11057,764598,11258,0.1114863964514595,0.0016190830691969,0.1119605387122952,0.0016485156184335
02-19-2021,92.56,111.88,-33.0,-16.0,-32.0,-37.0,-44.0,19.0,0.0250000003675324,2.4854227313167204e-05,0.025000000347486,2.3793543191529456e-05,0.0250000034874371,8.355711165686617e-05,0.0250000017499907,4.611069265033541e-05,0.0250000103042522,0.0001074834700496,0.025000005901975,6.710137544291587e-05,6829174,762673,11064,765596,11288,0.111678659820353,0.0016201080833494,0.1121066764443254,0.00165290853623
02-20-2021,109.56,141.75,-22.0,-6.0,-6.0,-21.0,-8.0,7.0,0.025,1e-05,0.0250000003422676,2.3521076500472983e-05,0.0250000025557784,6.322587546649501e-05,0.0250000016507856,4.3992533020069713e-05,0.0250000100735938,0.0001058635032929,0.0250000055312477,6.357224451468805e-05,6829174,764008,11115,766953,11317,0.1118741446622973,0.0016275760436035,0.1123053827593205,0.0016571550234332
02-21-2021,95.44,99.93,-15.0,-5.0,-3.0,-18.0,-11.0,5.0,0.0250000003069411,2.1678518315075936e-05,0.0250000003534361,2.403052409088332e-05,0.0250000024259607,6.074118710359311e-05,0.0250000015493724,4.180041117781598e-05,0.0250000096333925,0.0001020003186169,0.0250000052414293,6.082259172621745e-05,6829174,765137,11133,767965,11337,0.112039464802039,0.0016302117942814,0.1124535705196558,0.0016600836352976
02-22-2021,116.39,116.02,-12.0,-5.0,-17.0,-18.0,-24.0,9.0,0.0250000003080323,2.1765933976339846e-05,0.0250000003374441,2.346536531207923e-05,0.0250000025573126,6.417851973270529e-05,0.0250000013901171,3.834123383895564e-05,0.0250000093421784,9.971120325912112e-05,0.0250000048367773,5.687868074060437e-05,6829174,766089,11153,768854,11367,0.1121788667267813,0.0016331404061457,0.1125837473170254,0.0016644765530941
02-23-2021,123.73,125.98,-8.0,-1.0,20.0,-14.0,-22.0,6.0,0.0250000003707525,2.483062972656417e-05,0.0250000003287267,2.316297879972303e-05,0.0250000021891007,5.6243666290607394e-05,0.0250000013977828,3.862454371631955e-05,0.0250000092911518,9.990856266789677e-05,0.0250000046041112,5.468119467757835e-05,6829174,767315,11198,770797,11390,0.1123583906340649,0.0016397297828405,0.1128682619596454,0.0016678444567381
02-24-2021,128.86,131.89,-7.0,-1.0,34.0,-15.0,-22.0,6.0,0.0250000004136658,2.6773889466845544e-05,0.025000000328507,2.327860579212004e-05,0.0250000020064964,5.225204666891197e-05,0.025000001346066,3.7604512941071096e-05,0.0250000092652769,0.0001002700385147,0.0250000043821295,5.256229572767831e-05,6829174,768946,11266,772316,11411,0.1125972189316013,0.0016496870631792,0.1130906900307416,0.0016709194991956
02-25-2021,134.18,136.6,-9.0,-5.0,12.0,-14.0,-21.0,6.0,0.0250000004526664,2.8056404578060564e-05,0.0250000003092338,2.2555766212552868e-05,0.0250000016719515,4.446534980308104e-05,0.0250000012660948,3.596386969821074e-05,0.0250000089125951,9.709746200171988e-05,0.0250000041028576,4.983400920182922e-05,6829174,770940,11321,773650,11429,0.1128892015344754,0.0016577407458061,0.1132860284420927,0.0016735552498735
02-26-2021,148.64,165.7,-16.0,-13.0,-24.0,-16.0,-22.0,8.0,0.0250000003929575,2.484767905963993e-05,0.0250000002644266,2.070232545543597e-05,0.02500000146397,3.936946861152272e-05,0.0250000011942605,3.453385022185931e-05,0.0250000081573114,8.967174647144872e-05,0.0250000038398165,4.73063110014026e-05,6829174,772513,11377,774964,11452,0.1131195368576053,0.0016659408590262,0.1134784382415794,0.0016769231535175
02-27-2021,144.12,184.54,-11.0,-6.0,0.0,-11.0,-3.0,3.0,0.0250000005196181,3.004594995912909e-05,0.025,1e-05,0.0250000012726684,3.458904897549792e-05,0.025000001136212,3.339700695636031e-05,0.0250000075777024,8.404326226730149e-05,0.025000003547955,4.445807914035073e-05,6829174,773887,11393,776055,11463,0.113320732492685,0.0016682837485177,0.1136381940187788,0.0016785338900429
02-28-2021,107.34,110.89,-10.0,-6.0,2.0,-12.0,-13.0,4.0,0.0250000004928572,2.9023988599441333e-05,0.025,1e-05,0.0250000014353558,3.812456486801137e-05,0.0250000011008374,3.2839687869415306e-05,0.0250000072675906,8.117489397217638e-05,0.0250000033540658,4.26205618416103e-05,6829174,775004,11411,776880,11479,0.1134842954653081,0.0016709194991956,0.1137589992581826,0.0016808767795343
03-01-2021,118.24,115.89,-10.0,-8.0,-20.0,-15.0,-22.0,7.0,0.025000000532163,3.1321175751263674e-05,0.025,1e-05,0.025000001459787,3.87491330117484e-05,0.0250000010288381,3.1443921384701964e-05,0.0250000071833331,8.073824689057867e-05,0.0250000031156463,4.031583200449933e-05,6829174,775693,11421,777521,11491,0.1135851861440344,0.0016723838051278,0.1138528612684345,0.0016826339466529
03-02-2021,123.03,118.49,-8.0,-2.0,4.0,-15.0,-22.0,6.0,0.0250000005405008,3.246194585747531e-05,0.025,1e-05,0.0250000015982834,4.2187777763012205e-05,0.025000000958223,3.0093134028759267e-05,0.0250000067812019,7.690996683991521e-05,0.0250000029471337,3.873544682013228e-05,6829174,776337,11436,778739,11505,0.1136794874460659,0.001674580264026,0.1140312137309724,0.001684683974958
03-03-2021,127.97,127.58,-3.0,3.0,25.0,-14.0,-22.0,5.0,0.0250000004680023,2.986682711002179e-05,0.025,1e-05,0.0250000016495448,4.375858728592528e-05,0.0250000009077692,2.9183510259309277e-05,0.025000006537918,7.474176205977434e-05,0.0250000028029771,3.739603027470115e-05,6829174,777935,11459,780101,11516,0.1139134835340262,0.00167794816767,0.1142306521989335,0.0016862947114834
03-04-2021,135.91,139.86,-6.0,-1.0,25.0,-11.0,-22.0,5.0,0.0250000003333725,2.414782502746101e-05,0.025,1e-05,0.0250000016202426,4.3492581367367065e-05,0.0250000008235692,2.749952767653552e-05,0.0250000061794797,7.129044597249978e-05,0.0250000026633308,3.610232874255965e-05,6829174,779449,11501,781247,11539,0.1141351794521562,0.0016840982525851,0.1143984616587599,0.0016896626151273
03-05-2021,157.21,173.78,-11.0,-6.0,5.0,-12.0,-22.0,6.0,0.0250000002556808,2.046559413280715e-05,0.025,1e-05,0.0250000013895236,3.849461103813198e-05,0.0250000007091916,2.5024133302200458e-05,0.0250000056051029,6.553214788149108e-05,0.0250000025010052,3.456822252659472e-05,6829174,780894,11534,782459,11557,0.1143467716593544,0.0016889304621613,0.1145759355377385,0.0016922983658052
03-06-2021,161.71,208.4,-5.0,1.0,57.0,-3.0,-5.0,1.0,0.025,1e-05,0.025,1e-05,0.0250000015016185,4.122220890852983e-05,0.0250000006382392,2.3483788513959607e-05,0.0250000051034938,6.047879414402012e-05,0.0250000023773567,3.3422487477754445e-05,6829174,782206,11543,783613,11576,0.1145388885976547,0.0016902483375002,0.1147449164423106,0.0016950805470764
