date,Maine-apple-driving,Maine-apple-walking,Maine-google-retail_and_recreation,Maine-google-grocery_and_pharmacy,Maine-google-parks,Maine-google-transit_stations,Maine-google-workplaces,Maine-google-residential,Maine-jh_beta_7,Maine-jh_gamma_7,Maine-cdc_beta_7,Maine-cdc_gamma_7,Maine-jh_beta_14,Maine-jh_gamma_14,Maine-cdc_beta_14,Maine-cdc_gamma_14,Maine-jh_beta_30,Maine-jh_gamma_30,Maine-cdc_beta_30,Maine-cdc_gamma_30,Maine-census_pop,Maine-jh_confirmed,Maine-jh_death,Maine-cdc_confirmed,Maine-cdc_death,Maine-jh_confirmed_ratio,Maine-jh_death_ratio,Maine-cdc_confirmed_ratio,Maine-cdc_death_ratio
01-01-2021,104.15,124.9,-34.0,-24.0,31.0,-47.0,-70.0,23.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000027935416,3.1811207824898354e-05,0.0250000028444968,3.2230372484200224e-05,1344212,24902,352,25243,358,0.01852535165584,0.0002618634560619,0.0187790318789,0.0002663270376994
01-02-2021,88.23,117.21,-48.0,-33.0,-35.0,-38.0,-25.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000028761402,3.24489993661906e-05,0.0250000030228357,3.367227911508489e-05,1344212,25245,358,25590,359,0.0187805197394458,0.0002663270376994,0.0190371756835975,0.0002670709679723
01-03-2021,98.25,112.81,-15.0,-3.0,9.0,-5.0,-10.0,5.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000030515406,3.38782035317537e-05,0.0250000031147181,3.4407901290094353e-05,1344212,25592,359,25966,360,0.0190386635441433,0.0002670709679723,0.0193168934662091,0.0002678148982452
01-04-2021,107.35,138.19,-11.0,1.0,0.0,-22.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000031419771,3.461246909370768e-05,0.025000003225579,3.535286728777168e-05,1344212,25967,361,26563,369,0.0193176373964821,0.0002685588285181,0.0197610198391325,0.0002745102707013
01-05-2021,109.99,137.51,-18.0,-4.0,0.0,-24.0,-26.0,11.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000032544336,3.557298393374986e-05,0.0250000034383162,3.716744879187034e-05,1344212,26565,369,27088,372,0.0197625076996783,0.0002745102707013,0.0201515832324067,0.00027674206152
01-06-2021,109.62,140.78,-15.0,-4.0,-2.0,-21.0,-26.0,11.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000034645842,3.737680501500956e-05,0.025000003700718,3.9404434881564486e-05,1344212,27090,372,27625,385,0.0201530710929526,0.00027674206152,0.0205510737889559,0.0002864131550678
01-07-2021,111.5,139.1,-19.0,-3.0,6.0,-22.0,-24.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000037255945,3.961191904265219e-05,0.0250000035503287,3.79363436136356e-05,1344212,27625,385,28407,427,0.0205510737889559,0.0002864131550678,0.0211328272623663,0.0003176582265297
01-08-2021,126.91,160.85,-23.0,-10.0,-1.0,-30.0,-25.0,12.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000035723812,3.8129541966719374e-05,0.0250000037349227,3.902309705531394e-05,1344212,28407,426,29019,432,0.0211328272623663,0.0003169142962568,0.0215881125893832,0.0003213778778942
01-09-2021,123.63,155.24,-19.0,-9.0,-4.0,-24.0,-11.0,7.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000006510146,2.0995020891883416e-05,0.0250000037515909,3.918834294390261e-05,0.025000004166161,4.234435014785684e-05,1344212,29019,432,29298,432,0.0215881125893832,0.0003213778778942,0.0217956691355232,0.0003213778778942
01-10-2021,102.87,119.53,-13.0,-2.0,36.0,-21.0,-10.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000006522865,2.106023738684597e-05,0.0250000007005728,2.180940834041508e-05,0.0250000041815045,4.2504680227879264e-05,0.0250000044156447,4.418173757730895e-05,1344212,29298,432,29611,438,0.0217956691355232,0.0003213778778942,0.022028519310942,0.0003258414595316
01-11-2021,106.49,128.55,-17.0,-4.0,2.0,-23.0,-25.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000007204611,2.2247029407246663e-05,0.025000000796552,2.362412157720355e-05,0.0250000044296919,4.433642482706892e-05,0.0250000045701939,4.5194858430075946e-05,1344212,29611,438,30327,449,0.022028519310942,0.0003258414595316,0.0225611733863408,0.0003340246925336
01-12-2021,111.34,138.26,-18.0,-2.0,16.0,-19.0,-26.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000007967124,2.3665309924198967e-05,0.0250000008444739,2.4475278775192772e-05,0.0250000045828032,4.5342166406968006e-05,0.0250000049785656,4.84683184778244e-05,1344212,30326,449,31149,453,0.0225604294560679,0.0003340246925336,0.0231726840706674,0.0003370004136252
01-13-2021,110.73,139.47,-19.0,-5.0,3.0,-23.0,-27.0,10.0,0.025,1e-05,0.025,1e-05,0.025000000844322,2.4503759002259957e-05,0.0250000009438295,2.6454781752151997e-05,0.0250000049941305,4.864176722430484e-05,0.0250000053452235,5.139859527795865e-05,1344212,31150,453,31953,461,0.0231734280009403,0.0003370004136252,0.0237708040100817,0.0003429518558084
01-14-2021,111.54,132.63,-22.0,-5.0,6.0,-24.0,-26.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009435404,2.6470934327631128e-05,0.0250000009537787,2.666888170725305e-05,0.025000005359407,5.156358914033111e-05,0.0250000055562491,5.2965077197505785e-05,1344212,31958,461,32779,477,0.0237745236614462,0.0003429518558084,0.0243852904154999,0.0003548547401749
01-15-2021,131.38,165.02,-24.0,-9.0,10.0,-37.0,-27.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009219637,2.604283119321798e-05,0.0250000010279534,2.813366290823237e-05,0.0250000055695762,5.312469365665422e-05,0.0250000060213251,5.665485841611023e-05,1344212,32781,477,33219,507,0.0243867782760457,0.0003548547401749,0.0247126197355774,0.000377172648362
01-16-2021,106.94,139.52,-36.0,-22.0,-39.0,-47.0,-17.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000010009563,2.754223114037755e-05,0.0250000011029101,2.927862859594615e-05,0.0250000060338045,5.68088890652028e-05,0.0250000062747404,5.8183612337495706e-05,1344212,33219,507,33559,511,0.0247126197355774,0.000377172648362,0.0249655560283645,0.0003801483694536
01-17-2021,107.48,133.61,-15.0,-6.0,27.0,-35.0,-13.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000011026667,2.927188056458009e-05,0.025000001242517,3.19503251376162e-05,0.0250000063236869,5.86685862300931e-05,0.0250006686904641,0.0002575816806659,1344212,33559,511,33876,514,0.0249655560283645,0.0003801483694536,0.0252013819248749,0.0003823801602723
01-18-2021,117.73,132.76,-16.0,-7.0,24.0,-37.0,-43.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012423672,3.194385250135263e-05,0.0250000013663598,3.4457483839600254e-05,0.0250006705507324,0.0002580944101362,0.0250006214763459,0.0002487744781899,1344212,33876,514,34261,519,0.0252013819248749,0.0003823801602723,0.0254877950799427,0.0003860998116368
01-19-2021,107.86,125.02,-23.0,-7.0,13.0,-36.0,-27.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000013548789,3.422311824561342e-05,0.0250000013987815,3.5194211297273314e-05,0.0250006229912242,0.0002492181938099,0.0250006836743044,0.0002626166863902,1344212,34262,519,34962,530,0.0254885390102156,0.0003860998116368,0.026009290201248,0.0003942830446387
01-20-2021,106.57,128.91,-23.0,-9.0,-2.0,-38.0,-28.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000013987902,3.5189948180780654e-05,0.0250000015018627,3.730879912410535e-05,0.0250006849613759,0.0002629902315328,0.0250007178821111,0.0002710864860751,1344212,34963,530,35637,536,0.0260100341315209,0.0003942830446387,0.0265114431354578,0.0003987466262762
01-21-2021,110.67,130.43,-24.0,-9.0,1.0,-37.0,-26.0,10.0,0.025,1e-05,0.025,1e-05,0.025000001501927,3.73066584871382e-05,0.0250000014784594,3.6909735618659e-05,0.0250007277599498,0.0002731978422069,0.0250008107886779,0.0002892391357457,1344212,35638,536,36273,540,0.0265121870657307,0.0003987466262762,0.0269845827890243,0.0004017223473678
01-22-2021,129.52,153.34,-26.0,-11.0,3.0,-39.0,-26.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000014784494,3.690767201363086e-05,0.0250000010924578,2.9262363687974974e-05,0.0250006778727175,0.0002651703010613,0.025000611965372,0.0002549140746012,1344212,36274,540,36274,544,0.0269853267192972,0.0004017223473678,0.0269853267192972,0.0004046980684594
01-23-2021,128.07,162.44,-24.0,-13.0,-1.0,-35.0,-14.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000011048636,2.9510876364332388e-05,0.0250000011378562,3.033945970889965e-05,0.0250006199484675,0.0002568054263967,0.0250005721933493,0.000250190930632,1344212,36598,544,36787,544,0.0272263601277179,0.0004046980684594,0.0273669629492966,0.0004046980684594
01-24-2021,99.51,112.86,-23.0,-11.0,-3.0,-35.0,-12.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000011378562,3.033945970889965e-05,0.0250000012160778,3.220864320555154e-05,0.0250005794475527,0.0002519950234954,0.0250006322467285,0.0002647558210744,1344212,36598,544,37046,547,0.0272263601277179,0.0004046980684594,0.0275596408899786,0.0004069298592781
01-25-2021,104.97,125.51,-22.0,-9.0,2.0,-38.0,-27.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000012160778,3.220864320555154e-05,0.0250000012106708,3.240884422018216e-05,0.0250005930787239,0.0002577564609105,0.0250006420597572,0.0002698039314477,1344212,37046,547,37708,558,0.0275596408899786,0.0004069298592781,0.0280521227306407,0.00041511309228
01-26-2021,106.79,127.38,-22.0,-8.0,15.0,-34.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000012106708,3.240884422018216e-05,0.0250000011681689,3.170547371931795e-05,0.0250006422613255,0.0002699143133617,0.0250006244250374,0.0002685537867882,1344212,37710,558,38170,562,0.0280536105911865,0.00041511309228,0.028395818516722,0.0004180888133717
01-27-2021,101.58,122.34,-28.0,-15.0,-5.0,-40.0,-28.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000011681329,3.170479021749626e-05,0.0250000012146887,3.278248103281471e-05,0.0250006385048854,0.0002718532713611,0.0250006298576259,0.0002735139697986,1344212,38170,562,38454,568,0.028395818516722,0.0004180888133717,0.0286070947142266,0.0004225523950091
01-28-2021,107.91,123.81,-25.0,-9.0,1.0,-37.0,-25.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000012147251,3.2783179324212165e-05,0.0250000012064997,3.2697140941407866e-05,0.0250006300215569,0.0002735920341043,0.0250005830566835,0.0002671359617439,1344212,38454,567,38812,572,0.0286070947142266,0.0004218084647362,0.028873421751926,0.0004255281161007
01-29-2021,123.86,145.84,-28.0,-15.0,-15.0,-42.0,-27.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000012038534,3.2661197104536344e-05,0.0250000010786978,3.0165947343586064e-05,0.0250005824814142,0.0002670674136953,0.0250005728060902,0.0002696335088307,1344212,38813,570,39166,590,0.0288741656821989,0.0004240402555549,0.0291367730685338,0.0004389188610129
01-30-2021,125.26,158.32,-24.0,-13.0,-12.0,-38.0,-13.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000010705258,3.004946402135469e-05,0.0250000007691197,2.3693521767584337e-05,0.0250005709487178,0.0002693114098108,0.0250005111615282,0.0002589268103275,1344212,39168,590,39323,590,0.0291382609290796,0.0004389188610129,0.0292535701213796,0.0004389188610129
01-31-2021,101.79,113.21,-16.0,-3.0,22.0,-32.0,-9.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000007620697,2.3584433083276526e-05,0.0250000008084621,2.4403401654020275e-05,0.0250004930545921,0.0002541473918369,0.0250005307081109,0.0002649456757749,1344212,39324,590,39542,595,0.0292543140516525,0.0004389188610129,0.0294164908511455,0.0004426385123775
02-01-2021,102.57,131.1,-10.0,16.0,-2.0,-36.0,-25.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000008025163,2.430318038369153e-05,0.0250000008595491,2.5382318085263555e-05,0.0250004591523177,0.0002502841167304,0.0250004430468413,0.000248693701654,1344212,39543,595,39959,618,0.0294172347814184,0.0004426385123775,0.0297267097749462,0.0004597489086542
02-02-2021,53.55,76.14,-64.0,-51.0,-36.0,-69.0,-60.0,25.0,0.025,1e-05,0.025,1e-05,0.0250000008546113,2.5290986140463007e-05,0.0250000009348481,2.6532823404682893e-05,0.0250004418492724,0.0002484057035264,0.0250004556610399,0.0002552084052308,1344212,39960,618,40233,627,0.0297274537052191,0.0004597489086542,0.0299305466697217,0.0004664442811104
02-03-2021,106.71,126.71,-20.0,-8.0,-1.0,-36.0,-27.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000009308353,2.6450607737652404e-05,0.025000000930399,2.6095209513436324e-05,0.0250004545597575,0.0002549367678451,0.0250004658200929,0.0002613185261713,1344212,40233,627,40533,631,0.0299305466697217,0.0004664442811104,0.0301537257515927,0.000469420002202
02-04-2021,114.02,133.26,-19.0,-3.0,9.0,-34.0,-23.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000009271639,2.602095246222319e-05,0.025000000986774,2.7033364120235567e-05,0.0250004604047172,0.0002597201301773,0.0250004256625464,0.0002540439485315,1344212,40534,630,40797,633,0.0301544696818656,0.0004686760719291,0.0303501233436392,0.0004709078627478
02-05-2021,125.51,154.61,-27.0,-12.0,-9.0,-39.0,-24.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000009811087,2.6923474540726585e-05,0.0250000010551339,2.8388066638767333e-05,0.0250004243858801,0.0002537121607778,0.0250004131230728,0.000254909568162,1344212,40799,632,41063,634,0.030351611204185,0.0004701639324749,0.0305480087962315,0.0004716517930207
02-06-2021,131.99,170.3,-20.0,-6.0,15.0,-33.0,-10.0,6.0,0.025,1e-05,0.025,1e-05,0.0250000010473324,2.8244900706050986e-05,0.0250000010874065,2.920584958142973e-05,0.0250004115933383,0.0002545073824857,0.0250003612025468,0.0002422269992714,1344212,41065,634,41217,635,0.0305494966567773,0.0004716517930207,0.0306625740582586,0.0004723957232936
02-07-2021,87.43,104.73,-27.0,-4.0,7.0,-39.0,-10.0,4.0,0.025,1e-05,0.025,1e-05,0.0250000010896738,2.9236925887655847e-05,0.0250000011796504,3.132605982416166e-05,0.0250003600353391,0.0002418718500946,0.0250002214822223,0.0001914944946923,1344212,41219,635,41418,636,0.0306640619188044,0.0004723957232936,0.0308121040431122,0.0004731396535665
02-08-2021,102.86,118.5,-23.0,-11.0,0.0,-35.0,-27.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000011691,3.111203037466865e-05,0.025000001202868,3.21309432922062e-05,0.0250002232801535,0.0001924091320333,0.0250002044206989,0.0001886691478077,1344212,41419,636,41629,639,0.0308128479733851,0.0004731396535665,0.0309690733306948,0.0004753714443852
02-09-2021,99.17,115.55,-26.0,-11.0,-5.0,-39.0,-26.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000011988211,3.203408413742999e-05,0.0250000011015863,3.039505701198432e-05,0.0250002037688832,0.0001883678510465,0.0250002080522409,0.0001937466880599,1344212,41636,639,41883,641,0.0309742808426051,0.0004753714443852,0.0311580316200123,0.000476859304931
02-10-2021,110.79,126.12,-17.0,-3.0,-3.0,-34.0,-25.0,10.0,0.025,1e-05,0.025,1e-05,0.0250000010984825,3.0313573657338625e-05,0.025000001098925,3.06624237213851e-05,0.0250002074756481,0.0001934651086714,0.0250001958400309,0.0001909707333881,1344212,41889,641,42058,641,0.0311624952016497,0.000476859304931,0.0312882194177704,0.000476859304931
02-11-2021,115.14,135.66,-18.0,-1.0,-3.0,-33.0,-23.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000010965285,3.0594843316823104e-05,0.0250000010450287,2.9914358983477288e-05,0.0250001953547762,0.0001907083913695,0.0250001628816249,0.000179440590638,1344212,42064,641,42259,643,0.0312926829994078,0.000476859304931,0.0314377494026239,0.0004783471654768
02-12-2021,138.13,167.99,-20.0,-4.0,-5.0,-33.0,-25.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000010598582,3.0197970723016688e-05,0.0250000010215809,2.9726708278823368e-05,0.0250001625393058,0.0001792056757042,0.0250001432252863,0.0001754820791032,1344212,42265,643,42418,647,0.0314422129842614,0.0004783471654768,0.0315560343160156,0.0004813228865684
02-13-2021,142.68,215.02,-15.0,1.0,13.0,-23.0,-12.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000010538128,3.0365181161837852e-05,0.0250000007651382,2.4704743701927013e-05,0.0250001429284445,0.0001752568469324,0.0250001197402888,0.0001672551165751,1344212,42425,647,42528,649,0.0315612418279259,0.0004813228865684,0.031637866646035,0.0004828107471142
02-14-2021,114.67,163.16,-5.0,6.0,29.0,-25.0,-9.0,3.0,0.025,1e-05,0.025,1e-05,0.0250000007642376,2.4671388545704232e-05,0.0250000008051026,2.564407223348406e-05,0.0250001194488936,0.0001670292453731,0.0250000896162342,0.0001504043963074,1344212,42529,649,42677,649,0.0316386105763079,0.0004828107471142,0.0317487122566976,0.0004828107471142
02-15-2021,113.08,129.26,-10.0,5.0,20.0,-31.0,-46.0,12.0,0.025,1e-05,0.025,1e-05,0.0250000008044994,2.56168188321666e-05,0.0250000007527225,2.4695005115699077e-05,0.0250000894622997,0.000150213590701,0.0250000577640487,0.0001205892693368,1344212,42677,649,42768,651,0.0317487122566976,0.0004828107471142,0.0318164099115318,0.0004842986076601
02-16-2021,77.81,106.18,-48.0,-34.0,-25.0,-53.0,-47.0,19.0,0.025,1e-05,0.025,1e-05,0.0250000007523639,2.467400144567398e-05,0.025,1e-05,0.0250000576895484,0.0001204228491744,0.0250000532503267,0.0001190270730688,1344212,42773,651,42871,654,0.0318201295628963,0.0004842986076601,0.0318930347296408,0.0004865303984788
02-17-2021,124.54,149.91,-11.0,1.0,5.0,-29.0,-30.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000531999509,0.0001188748439147,0.0250000498373079,0.0001185170058494,1344212,42877,654,43090,655,0.0318974983112782,0.0004865303984788,0.0320559554594067,0.0004872743287517
02-18-2021,124.99,146.93,-15.0,0.0,8.0,-32.0,-30.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000498065494,0.0001183783023885,0.0250000444234034,0.000115471039661,1344212,43095,655,43225,655,0.0320596751107712,0.0004872743287517,0.0321563860462486,0.0004872743287517
02-19-2021,128.73,155.56,-25.0,-11.0,-10.0,-42.0,-32.0,13.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000444018429,0.0001153422676705,0.025000033711308,0.0001051092781226,1344212,43229,656,43366,658,0.0321593617673402,0.0004880182590246,0.032261280214728,0.0004895061195704
02-20-2021,134.95,175.61,-19.0,-8.0,13.0,-26.0,-12.0,6.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000337875352,0.0001050683096763,0.025000027372468,0.0001001284803827,1344212,43367,658,43497,658,0.0322620241450009,0.0004895061195704,0.0323587350804783,0.0004895061195704
02-21-2021,114.8,129.37,-10.0,-1.0,46.0,-17.0,-9.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000274434903,0.0001000958251746,0.02500002261019,9.712108842392108e-05,1344212,43497,658,43594,658,0.0323587350804783,0.0004895061195704,0.03243089631695,0.0004895061195704
02-22-2021,104.27,117.68,-21.0,-7.0,-8.0,-37.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000226757848,9.709618879785264e-05,0.0250000213371448,9.558813271777056e-05,1344212,43594,658,43736,660,0.03243089631695,0.0004895061195704,0.0325365344157022,0.0004909939801162
02-23-2021,112.65,136.48,-17.0,-4.0,17.0,-32.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000197899749,9.473997967317233e-05,0.0250000187436869,9.652532606603508e-05,1344212,43736,660,43900,677,0.0325365344157022,0.0004909939801162,0.0326585389804584,0.0005036407947555
02-24-2021,120.43,143.26,-10.0,-1.0,15.0,-29.0,-25.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000197607677,9.70073474645741e-05,0.0250000175092158,9.617409181414046e-05,1344212,43900,677,44117,701,0.0326585389804584,0.0005036407947555,0.0328199718496784,0.0005214951213052
02-25-2021,121.31,143.62,-15.0,-2.0,3.0,-31.0,-23.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000175617979,9.617221649652428e-05,0.0250000079339433,7.8015064812175e-05,1344212,44118,701,44296,701,0.0328207157799513,0.0005214951213052,0.0329531353685281,0.0005214951213052
02-26-2021,143.88,177.34,-15.0,-5.0,6.0,-32.0,-25.0,10.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000079382628,7.802202423719802e-05,0.0250000081003351,7.90919987461901e-05,1344212,44296,701,44493,702,0.0329531353685281,0.0005214951213052,0.0330996896322901,0.0005222390515781
02-27-2021,123.41,166.07,-25.0,-14.0,-21.0,-37.0,-14.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000008104211,7.910118665873178e-05,0.0250000080218108,7.80240860228424e-05,1344212,44493,702,44634,703,0.0330996896322901,0.0005222390515781,0.0332045838007695,0.000522982981851
02-28-2021,119.26,137.42,-3.0,3.0,57.0,-13.0,-8.0,2.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000006118299,2.013898975701412e-05,0.0250000081163578,7.886687984304122e-05,0.02500000810508,7.850879812890594e-05,1344212,44635,703,44763,703,0.0332053277310424,0.000522982981851,0.033300550805974,0.000522982981851
03-01-2021,108.35,128.67,-12.0,-2.0,-10.0,-33.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.0250000006122518,2.0155863018042862e-05,0.0250000006900576,2.1794091222214307e-05,0.0250000082920233,8.020063815288856e-05,0.0250000068548438,6.691612524326305e-05,1344212,44763,703,44945,703,0.033300550805974,0.000522982981851,0.0334359461156424,0.000522982981851
03-02-2021,111.03,122.4,-20.0,-10.0,-14.0,-37.0,-28.0,11.0,0.025,1e-05,0.025,1e-05,0.0250000006903171,2.180731637657498e-05,0.0250000007148777,2.249044338529067e-05,0.0250000068583827,6.693800211002021e-05,0.02500000719564,6.994307477236363e-05,1344212,44944,703,45091,705,0.0334352021853695,0.000522982981851,0.0335445599354863,0.0005244708423968
03-03-2021,121.24,142.26,-6.0,3.0,7.0,-29.0,-25.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000007150895,2.250150737788268e-05,0.0250000007149715,2.27272083835796e-05,0.0250000071987993,6.996482228744969e-05,0.0250000070683073,6.871641859099203e-05,1344212,45091,705,45227,705,0.0335445599354863,0.0005244708423968,0.0336457344526012,0.0005244708423968
03-04-2021,122.9,140.69,-12.0,0.0,5.0,-30.0,-23.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000007151158,2.273521241990508e-05,0.0250000007405619,2.3555514422670745e-05,0.0250000070712101,6.873914651354459e-05,0.0250000052382311,5.199988534231242e-05,1344212,45231,705,45452,704,0.0336487101736928,0.0005244708423968,0.0338131187640044,0.0005237269121239
03-05-2021,142.54,166.63,-15.0,-6.0,-7.0,-33.0,-25.0,10.0,0.025,1e-05,0.025,1e-05,0.025000000740648,2.356008777252836e-05,0.0250000007689103,2.4506766678716195e-05,0.0250000052408428,5.202330086079644e-05,0.0250000046509894,4.675248581847541e-05,1344212,45456,704,45635,704,0.0338160944850961,0.0005237269121239,0.0339492580039458,0.0005237269121239
03-06-2021,144.49,202.73,-11.0,-5.0,11.0,-27.0,-12.0,5.0,0.025,1e-05,0.025,1e-05,0.0250000007503932,2.413034794028602e-05,0.0250000007330969,2.415244355844067e-05,0.0250000046532465,4.677613551571996e-05,0.0250000045076863,4.564147454426575e-05,1344212,45639,704,45792,706,0.0339522337250374,0.0005237269121239,0.0340660550567916,0.0005252147726697
03-07-2021,120.89,147.9,-2.0,1.0,45.0,-13.0,-9.0,2.0,0.025,1e-05,0.025,1e-05,0.0250000007331101,2.4152726000067327e-05,0.025000000753826,2.4875821981664583e-05,0.0250000046051914,4.653942914596625e-05,0.0250000045468395,4.621630748579109e-05,1344212,45794,706,45926,706,0.0340675429173374,0.0005252147726697,0.0341657417133606,0.0005252147726697
03-08-2021,115.63,140.02,-11.0,-1.0,17.0,-32.0,-26.0,8.0,0.025,1e-05,0.025,1e-05,0.025000000753826,2.4875821981664583e-05,0.0250000007679838,2.542368955611893e-05,0.0250000046447362,4.712011469034381e-05,0.0250000046581169,4.752332091572072e-05,1344212,45933,706,46059,723,0.034170949225271,0.0005252147726697,0.0342646844396568,0.0005378615873091
03-09-2021,118.58,139.76,-10.0,-2.0,24.0,-30.0,-25.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000007679838,2.542368955611893e-05,0.0250000008055245,2.597209813380474e-05,0.0250000046597401,4.754702069491531e-05,0.0250000049136403,4.9713516294111735e-05,1344212,46066,723,46254,723,0.0342698919515671,0.0005378615873091,0.0344097508428729,0.0005378615873091
03-10-2021,123.13,145.16,-6.0,2.0,25.0,-24.0,-25.0,8.0,0.025,1e-05,0.025,1e-05,0.0250000008055245,2.597209813380474e-05,0.0250000005482174,2.054786505062607e-05,0.0250000049150412,4.973540748963268e-05,0.0250000051398202,5.1754899146544905e-05,1344212,46261,723,46441,723,0.0344149583547833,0.0005378615873091,0.0345488658039059,0.0005378615873091
03-11-2021,126.94,161.2,-9.0,2.0,40.0,-25.0,-23.0,7.0,0.025,1e-05,0.025,1e-05,0.0250000005482174,2.054786505062607e-05,0.025,1e-05,0.0250000051409355,5.177427701583383e-05,0.0250000051404466,5.183587630725995e-05,1344212,46448,723,46650,723,0.0345540733158162,0.0005378615873091,0.0347043472309427,0.0005378615873091
03-12-2021,126.94,161.2,-8.0,-1.0,35.0,-26.0,-25.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000051418796,5.185788929707142e-05,0.0250000052126023,5.266238252377125e-05,1344212,46657,723,46856,724,0.034709554742853,0.0005378615873091,0.0348575968671608,0.000538605517582
03-13-2021,149.26,219.95,-6.0,0.0,8.0,-19.0,-12.0,4.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000052137883,5.268194609093044e-05,0.025000005458551,5.513157477891647e-05,1344212,46863,724,47025,724,0.0348628043790711,0.000538605517582,0.0349833210832815,0.000538605517582
03-14-2021,116.53,135.81,-2.0,2.0,8.0,-12.0,-9.0,3.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025000005459618,5.514967476991259e-05,0.0250000054836189,5.56439629181428e-05,1344212,47032,724,47199,725,0.0349885285951918,0.000538605517582,0.0351127649507666,0.0005393494478549
03-15-2021,116.06,131.08,-12.0,-2.0,-10.0,-32.0,-26.0,9.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000054845568,5.5660352647130734e-05,0.0250000052918439,5.419296809450326e-05,1344212,47206,725,47388,725,0.035117972462677,0.0005393494478549,0.0352533677723454,0.0005393494478549
03-16-2021,122.03,144.44,-7.0,4.0,18.0,-25.0,-25.0,8.0,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.025,1e-05,0.0250000052927288,5.420817184913136e-05,0.0250000052710838,5.435788546818758e-05,1344212,47395,725,47388,725,0.0352585752842557,0.0005393494478549,0.0352533677723454,0.0005393494478549
